symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
HOTUSDT,-0.00003700,-2.584,0.00139869,0.00143200,0.00139500,1062491.00000000,0.00139500,5013365.00000000,0.00139600,185953.00000000,0.00143200,0.00146000,0.00132600,15314935992.00000000,21420845.16067500,1697476609876,1697563009876,103144012,103255906,111895
ZILUSDT,0.00006000,0.361,0.01673539,0.01661000,0.01667000,1779.40000000,0.01667000,889.70000000,0.01668000,407511.70000000,0.01661000,0.01690000,0.01631000,116839711.70000000,1955358.31647400,1697476610121,1697563010121,102355668,102371853,16186
ZRXBNB,0.00000000,0.000,0.00000000,0.01045000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ZRXUSDT,0.02030000,8.598,0.25519394,0.23600000,0.25640000,3164.00000000,0.25640000,9300.00000000,0.25670000,8379.00000000,0.23610000,0.27040000,0.23270000,59727288.00000000,15242042.02760000,1697476609302,1697563009302,35714658,35789351,74694
FETBNB,-0.00002900,-2.897,0.00096965,0.00100300,0.00097200,100.00000000,0.00097100,100.00000000,0.00097300,2772.00000000,0.00100100,0.00100900,0.00092600,219195.00000000,212.54308500,1697476529923,1697562929923,4202576,4203378,803
FETBTC,-0.00000037,-4.875,0.00000741,0.00000759,0.00000722,1051.00000000,0.00000722,6338.00000000,0.00000723,725.00000000,0.00000759,0.00000762,0.00000720,557515.00000000,4.12984858,1697476597971,1697562997971,26763598,26765849,2252
FETUSDT,-0.00850000,-3.970,0.21050375,0.21410000,0.20560000,4195.00000000,0.20560000,2500.00000000,0.20570000,13305.00000000,0.21410000,0.21600000,0.20250000,23494529.00000000,4945686.36890000,1697476606901,1697563006901,64685758,64708659,22902
BATUSDT,-0.00100000,-0.550,0.18251715,0.18190000,0.18090000,2630.00000000,0.18080000,1819.00000000,0.18090000,3860.00000000,0.18190000,0.18530000,0.17790000,6363294.00000000,1161410.25550000,1697476606686,1697563006686,68673643,68683365,9723
XMRBNB,-0.00020000,-0.028,0.71160180,0.71400000,0.71280000,0.14300000,0.71300000,0.46000000,0.71420000,0.10900000,0.71300000,0.71630000,0.70470000,345.80600000,246.07617090,1697476607309,1697563007309,2681195,2681578,384
XMRUSDT,-1.10000000,-0.723,151.57226750,152.10000000,151.10000000,23.92500000,151.00000000,75.18000000,151.10000000,33.06000000,152.20000000,152.90000000,149.90000000,48463.39300000,7345706.36760000,1697476609491,1697563009491,68212820,68232100,19281
ZECBNB,0.00000000,0.000,0.00000000,0.10260000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ZECUSDT,-0.81000000,-3.174,25.31953633,25.51000000,24.71000000,11.65800000,24.70000000,146.78900000,24.71000000,3.76300000,25.52000000,25.80000000,24.50000000,67911.67100000,1719492.02141000,1697476610330,1697563010330,87958654,87964973,6320
ZECPAX,0.00000000,0.000,0.00000000,42.10000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ZECTUSD,0.00000000,0.000,0.00000000,51.48000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
ZECUSDC,0.00000000,0.000,0.00000000,55.80000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1689573709926,1689660109926,-1,-1,0
IOSTUSDT,-0.00011000,-1.528,0.00714386,0.00720000,0.00709000,31216.00000000,0.00709000,958309.00000000,0.00710000,901707.00000000,0.00720000,0.00728000,0.00697000,85547996.00000000,611142.99392000,1697476609569,1697563009569,73143616,73148381,4766
CELRBNB,-0.00000289,-5.176,0.00005468,0.00005701,0.00005294,2000.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00005583,0.00005583,0.00005184,988615.00000000,54.05640626,1692154808409,1692241208409,2549788,2549880,93
CELRBTC,-0.00000002,-4.651,0.00000042,0.00000043,0.00000041,36846.00000000,0.00000041,4100.00000000,0.00000042,1731631.00000000,0.00000043,0.00000043,0.00000040,4074124.00000000,1.70227576,1697476608608,1697563008608,12234207,12234579,373
CELRUSDT,-0.00039000,-3.231,0.01187048,0.01207000,0.01168000,20286.10000000,0.01167000,140890.50000000,0.01168000,1254.70000000,0.01207000,0.01220000,0.01150000,51539395.80000000,611797.21760800,1697476577881,1697562977881,60247444,60251514,4071
